"","Estimate","StdErr","z.value","p.value"
"C8_SM.31.1.O2",0,NA,NA,NA
"C8_SM.32.2.O2",0,NA,NA,NA
"C8_SM.32.1.O2",0,NA,NA,NA
"C8_SM.32.0.O2",0,NA,NA,NA
"C8_SM.33.2.O2",0,NA,NA,NA
"C8_SM.33.1.O2",0,NA,NA,NA
"C8_SM.34.2.O2",0,NA,NA,NA
"C8_SM.34.1.O2",0,NA,NA,NA
"C8_SM.34.0.O2",0,NA,NA,NA
"C8_SM.35.2.O2",0,NA,NA,NA
"C8_SM.35.1.O2",0,NA,NA,NA
"C8_SM.36.3.O2",0,NA,NA,NA
"C8_SM.36.2.O2",0,NA,NA,NA
"C8_SM.36.1.O2",0,NA,NA,NA
"C8_SM.36.0.O2",0,NA,NA,NA
"C8_SM.38.2.O2",0,NA,NA,NA
"C8_SM.38.1.O2",0,NA,NA,NA
"C8_SM.39.1.O2",0,NA,NA,NA
"C8_SM.40.1.O2",0,NA,NA,NA
"C8_SM.41.2.O2",0,NA,NA,NA
"C8_SM.41.1.O2",0,NA,NA,NA
"C8_SM.42.4.O2",0,NA,NA,NA
"C8_SM.42.2.O2",0,NA,NA,NA
"C8_SM.42.1.O2",0,NA,NA,NA
"C8_SM.43.2.O2",0,NA,NA,NA
"C8_SM.43.1.O2",0,NA,NA,NA
"C8_SM.44.3.O2",0,NA,NA,NA
"C8_SM.44.2.O2",0,NA,NA,NA
"C8_SM.44.1.O2",0,NA,NA,NA
"C8_Cer.34.1.O2",0,NA,NA,NA
"C8_Cer.40.2.O2",0,NA,NA,NA
"C8_Cer.40.1.O2",0,NA,NA,NA
"C8_Cer.42.2.O2_A",0,NA,NA,NA
"C8_Cer.42.1.O2",0,NA,NA,NA
"C8_Cer.41.2.O2_A",0,NA,NA,NA
"C8_Cer.41.0.O2",0,NA,NA,NA
"C8_HexCer.34.1.O2",0,NA,NA,NA
"C8_Hex2Cer.32.1.O2",0,NA,NA,NA
"C8_Hex2Cer.34.2.O2",0,NA,NA,NA
"C8_Hex2Cer.34.1.O2",0,NA,NA,NA
"C8_Hex2Cer.42.2.O2",0,NA,NA,NA
"C8_Palmitoyl.EA",0,NA,NA,NA
"C8_Piperine",0,NA,NA,NA
"C8_Coenzyme.Q10",0,NA,NA,NA
"C8_gamma.Tocopherol",0,NA,NA,NA
"C8_Cholestenone",0,NA,NA,NA
"C8_Cholesterol",0,NA,NA,NA
"C8_CE.14.1",0,NA,NA,NA
"C8_CE.14.0",0,NA,NA,NA
"C8_CE.16.1",0,NA,NA,NA
"C8_CE.16.0",0,NA,NA,NA
"C8_CE.17.0",0,NA,NA,NA
