"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"22","C8_TG.55.6",7634,-0.000898814828097284,0.0149942993465572,0.952202058629745,"lmer",0.952202058629745
"23","C8_TG.56.10",7631,-0.0448569899252629,0.0143365784441597,0.00176178144993394,"lmer",0.00498283427772563
"24","C8_TG.56.9",7633,-0.043631639729448,0.0138513877438536,0.00163944336046304,"lmer",0.00481928204121078
"25","C8_TG.56.8",7633,-0.0315075522134528,0.0136231925206422,0.020761984588362,"lmer",0.0373715722590517
"26","C8_TG.56.7",7634,-0.0294431602429808,0.0139153260079752,0.034389798725257,"lmer",0.0560435611424467
"27","C8_TG.58.11",7633,-0.0367294375206815,0.013863284132319,0.00808065209728057,"lmer",0.0169361612449853
"28","C8_TG.58.10",7632,-0.0283177930906976,0.0134556725349927,0.035366909236217,"lmer",0.0569593380330652
"29","C8_TG.58.9",7634,-0.0426310055011564,0.0137107814928177,0.00188242793874687,"lmer",0.00505283288821529
"30","C8_TG.58.7_A",7632,-0.0367829557149433,0.0148811808945579,0.0134671023149498,"lmer",0.0257558331773415
"31","C8_TG.60.12",7621,-0.0309550463150164,0.0135184120460267,0.0220588084490622,"lmer",0.0392441592175177
"32","C8_QI7297",7633,-0.0157849329585967,0.0150665910808386,0.294821126994828,"lmer",0.344333071986326
"33","C8_QI5120",7634,-0.018965274501736,0.0137253804243829,0.167086477504085,"lmer",0.214825471076681
"34","C8_QI11020",7634,-0.0351318911969058,0.0135286971928185,0.00942772575642512,"lmer",0.0190570152787916
"35","C8_QI1850",7634,-0.00553164543521479,0.0155425376884228,0.721922825130973,"lmer",0.756535563322184
"36","C8_QI9896",7633,-0.0328053778040304,0.0136491016467746,0.0162642911965644,"lmer",0.0296242446794566
"37","C8_QI2435",7633,-0.00713660172668308,0.0144050943931937,0.620316681977146,"lmer",0.677917516732167
"38","C8_QI3132",7615,-0.0165716903202661,0.0132594853790956,0.211414750952944,"lmer",0.265134892588528
"39","C8_QI8941",7631,-0.0286666428327405,0.0151870901621181,0.0591226859470815,"lmer",0.0853374617915422
"40","C8_QI3326",7613,-0.0362380119893629,0.0149850797198896,0.0156181871001397,"lmer",0.0291412515405047
"41","C8_QI3325",7634,-0.046204194555415,0.0147902874661034,0.00179121493643732,"lmer",0.00498283427772563
"42","C8_QI3338",7633,-0.0487888146729685,0.0140814227993028,0.000533778483435118,"lmer",0.00185609336285393
"43","C8_QI3437",7631,-0.0672260087898327,0.0140881156764621,1.86136639056332e-06,"lmer",2.19068505966299e-05
"44","C8_QI8783",7633,-0.0638134251009028,0.0143362019341705,8.66890790217699e-06,"lmer",8.84228606022053e-05
"45","C8_QI8717",7633,-0.0974792200998142,0.0149013031159652,6.48529301433491e-11,"lmer",1.6537497186554e-09
"46","C8_QI8654",7622,-0.00646993300034705,0.0144738178637512,0.654881402576128,"lmer",0.708607299310704
"47","C8_QI3670",7607,-0.0418300500281843,0.0137255696493819,0.00231515623608522,"lmer",0.00580686728067276
"48","C8_QI3679",7633,-0.0399140837243158,0.0134683790045412,0.00305122905740193,"lmer",0.00718212378126916
"49","C8_QI3698",7630,-0.0280471287331574,0.0147180208006048,0.0567375007091286,"lmer",0.0840080219401268
"50","C8_QI8300",7631,-0.0282768474653048,0.0148605354088741,0.0571034920377333,"lmer",0.0840080219401268
"51","C8_QI8223",7633,0.0512312557340488,0.0135281254473821,0.000153783043611246,"lmer",0.000784293522417355
"52","C8_QI8146",7632,-0.0469850467077975,0.0129383898754809,0.000283872859561596,"lmer",0.0011429617766559
"53","C8_QI8066",7633,-0.00104934834030922,0.0143037255929167,0.941520143918305,"lmer",0.947714355391452
"54","C8_QI7914",7630,-0.0594774316870466,0.0141384441783838,2.62195648941298e-05,"lmer",0.000191028258514374
"55","C8_QI7760",7630,-0.00662761606433155,0.0149552912454599,0.657661676484444,"lmer",0.708607299310704
"56","C8_QI4968",7608,-0.0400189498296023,0.0144574840945627,0.00565350799311376,"lmer",0.0125360394629914
"57","C8_QI4993",7631,-0.0445585138694857,0.0137739697481125,0.00122193821677185,"lmer",0.00389492806596026
"58","C8_QI7229",7624,-0.0435445169555978,0.0142578573246162,0.00226566410444314,"lmer",0.00577744346633001
"59","C8_QI7070",7620,-0.0147423762746574,0.0140507990442041,0.294113063645821,"lmer",0.344333071986326
"60","C18_Eicosapentaenoic.acid",7602,-0.0345117703282408,0.0136029926768195,0.0111993321786456,"lmer",0.0219679208119588
"61","C18_Docosahexaenoic.acid",7602,-0.0181019728823936,0.0132044262447651,0.170449080148504,"lmer",0.217322577189343
"62","C18_Docosapentaenoic.acid..22n.6.",7602,-0.00110926605703863,0.0138792268732107,0.936300910040201,"lmer",0.947714355391452
"63","C18_X11.methyl.lauric.acid",7601,-0.0227826857161351,0.0140059485381357,0.103856338183364,"lmer",0.141875176268346
"64","C18_QI46395",7599,-0.0248708545698215,0.0137170273502289,0.069851817337645,"lmer",0.0989567412283304
"65","C18_QI46396",7596,-0.0295226276062383,0.013650607232925,0.0305938614278447,"lmer",0.0508789217223939
"66","C18_QI46781",7602,-0.0109893606465919,0.0137692166835726,0.424831614438991,"lmer",0.481475829697524
"67","C18_QI46812",7602,-0.0102513413456887,0.0138398711565073,0.458892136322468,"lmer",0.516253653362777
"68","C18_QI47166",7601,-0.0331063982042522,0.0131274793322492,0.0116927671750917,"lmer",0.0226454857947979
"69","C18_QI49700",7602,-0.0281092050897291,0.013798496114357,0.0416735261813447,"lmer",0.0650617296504667
"70","C18_QI49706",7602,-0.0278861837043096,0.0137919993302493,0.0432216498024489,"lmer",0.0667970951492391
"71","C18_QI49710",7602,-0.026468569626234,0.0138763833959004,0.0565004748814474,"lmer",0.0840080219401268
"72","C18_QI49714",7601,-0.029270807271112,0.0138372125346835,0.0344319918130064,"lmer",0.0560435611424467
"73","C18_QI49716",7602,-0.0277920864962915,0.0138571832287551,0.0449344426718496,"lmer",0.0687496972879299
"74","C18_QI49720",7601,-0.0255616214706013,0.0138804869633103,0.0655809478997423,"lmer",0.0937746264360801
"75","C18_QI49721",7602,-0.027159140007424,0.0139333290325442,0.0513067983312906,"lmer",0.077722179650371
"76","C18_QI49733",7601,-0.0265042758253025,0.013983449058406,0.0580780337133402,"lmer",0.0846279919822957
"77","C18_QI10880",7599,-0.0442917224930201,0.0144095088514714,0.00212133658670795,"lmer",0.00559593961666062
"78","C18_QI11017",7602,-0.0542924782631736,0.0142131615723876,0.000134640927884527,"lmer",0.000710346964356298
"79","C18_QI11070",7602,-0.0552506047524547,0.0142560249035446,0.000107306254506,"lmer",0.000586352033550642
"80","C18_QI11584",7602,-0.0501055084634196,0.0143344383525703,0.000476015570856779,"lmer",0.00169372982188575
"81","C18_QI11587",7599,-0.0468547660569458,0.0143897763154257,0.00113456619813091,"lmer",0.00369337507051126
"82","C18_QI11740",7602,-0.0513259705313546,0.0142842800254643,0.000328845157300851,"lmer",0.00129008484787257
"83","C18_QI11743",7601,-0.0520251481684224,0.014221314828812,0.000255760982675204,"lmer",0.00105760622565692
"84","C18_QI11750",7602,-0.0536478965381863,0.0142336554371799,0.000165157096011479,"lmer",0.000815130183540526
"85","C18_QI11755",7602,-0.053337856705706,0.0142525113573359,0.000183732029199761,"lmer",0.000826794131398926
"86","C18_QI12574",7601,-0.0136054981734107,0.0136243233839516,0.318013162744627,"lmer",0.368606165908545
"87","C18_QI13002",7602,-0.0145473763834686,0.0128722451533975,0.258458649668069,"lmer",0.311371444088303
"88","C18_QI13014",7602,-0.00790815412298275,0.012990954022462,0.542714544828752,"lmer",0.601705256223182
"89","C18_QI13135",7600,-0.0728259081362287,0.0140472855182549,2.22977104452079e-07,"lmer",3.79061077568535e-06
"90","C18_QI13137",7602,-0.0559778016393204,0.0129900933509245,1.66174372160834e-05,"lmer",0.000127123394703038
"91","C18_QI13138",7602,-0.0512725749940173,0.0130136548694607,8.23658905889333e-05,"lmer",0.000504079250404272
"92","C18_QI13141",7602,-0.0560705054459267,0.0129007070803064,1.405249765144e-05,"lmer",0.00011315958635107
"93","C18_QI13144",7600,-0.0577109667547241,0.0131171411069619,1.10098603468471e-05,"lmer",9.90887431216237e-05
"94","C18_QI13468",7594,-0.0460702692522209,0.0125162403689684,0.000234183284793229,"lmer",0.00100108904041968
"95","C18_QI13541",7601,-0.0152725329349586,0.0129619453175582,0.238735660248837,"lmer",0.292212448144577
"96","C18_QI13534",7602,-0.015636825805187,0.0129515169012604,0.227344546114761,"lmer",0.282794435411044
"97","C18_QI13537",7599,-0.0146600451957892,0.0132649555660865,0.269125656836055,"lmer",0.321689261686847
"98","C18_QI13538",7602,-0.0151011041150773,0.0129097253442474,0.242143553213682,"lmer",0.294031457473756
"99","C18_QI13627",7596,-0.0486177789585114,0.0132132665264381,0.000235550362451689,"lmer",0.00100108904041968
"100","C18_QI13636",7601,-0.0471145312223627,0.0132243147586319,0.000369523670101432,"lmer",0.00137895418354925
"101","C18_QI13637",7602,-0.0510640353884117,0.0129927953098787,8.57397101564823e-05,"lmer",0.0005045452174593
"102","C18_QI13639",7602,-0.0487398715837185,0.0130122873427419,0.000181423368007108,"lmer",0.000826794131398926
"103","C18_QI13640",7602,-0.00510572278345675,0.0136388093229548,0.708153811023271,"lmer",0.752413424212225
"104","C18_QI13642",7602,-0.040257307429955,0.0133612149366984,0.00259605068323465,"lmer",0.0064063831376597
"105","C18_QI14104",7598,-0.0370823018657883,0.0142872491890148,0.00946622981168732,"lmer",0.0190570152787916
"106","C18_QI15160",7602,0.058093051226121,0.0119450242461354,1.18378194483346e-06,"lmer",1.50932197966266e-05
"107","C18_QI15652",7602,0.0320118516474491,0.0145762183336311,0.0281106170296731,"lmer",0.0477880489504442
"108","C18_QI16352",7602,-0.0283487104384361,0.0135633935198858,0.0366449293677956,"lmer",0.0578007648791002
"109","C18_QI16867",7597,-0.00789413641801051,0.0141947880041898,0.578140116408454,"lmer",0.636370056190601
"110","C18_QI17491",7601,-0.0408631860324502,0.0136227699924161,0.00271210339492214,"lmer",0.00658653681623947
"111","C18_QI18689",7602,0.0382791856181673,0.0119683552919512,0.00138961207840994,"lmer",0.00425221295993441
"112","C18_QI18681",7601,-0.0339766246440151,0.0140435399451118,0.0155712670587967,"lmer",0.0291412515405047
"113","C18_QI18792",7602,-0.0203489469185525,0.0134810202255391,0.131226605239373,"lmer",0.176119917558106
"114","C18_QI19318",7602,0.00487713697285193,0.0135327270581938,0.718561501079588,"lmer",0.756535563322184
"115","C18_QI19592",7596,0.0315075215995568,0.0106095903547555,0.00299474403854515,"lmer",0.007159309967147
"116","C18_QI19734",7601,0.0219622696286484,0.012260379038315,0.073291914669631,"lmer",0.102877641692234
"117","C18_QI19857",7596,0.0319474082728944,0.0119573873357033,0.00756527555416357,"lmer",0.0160762105525976
"118","C18_QI19930",7602,-0.035499022090369,0.0136047314131688,0.00909119734743836,"lmer",0.0187966647859199
"119","C18_QI20106",7600,-0.0201672629084861,0.0141999940050397,0.155582591905524,"lmer",0.201729970860552
"120","C18_QI20356",7602,0.0350281441029874,0.0111375016177628,0.00166942449793576,"lmer",0.00481928204121078
"121","C18_QI21039",7602,-0.0170848146082585,0.0132023308942489,0.19568154646629,"lmer",0.247432038093739
"122","C18_QI21046",7602,-0.0309604025522848,0.012867372991411,0.0161499069593197,"lmer",0.0296242446794566
"123","C18_QI21963",7595,-0.00586018365859973,0.0139381100253208,0.674174714462359,"lmer",0.721319799389797
"124","HILIC_CAR.13.0",7636,-0.0384183687859412,0.0130413476479363,0.00323069880253392,"lmer",0.0074893472240559
"125","HILIC_CAR.16.4",7633,-0.0445911212992587,0.0136868725404831,0.00112726158483102,"lmer",0.00369337507051126
"126","HILIC_PC.P.36.5.or.PC.O.36.6",7636,0.0319328047826024,0.0147206168404968,0.0300944831363855,"lmer",0.050598416701835
"127","HILIC_PC.P.35.1.or.PC.O.35.2",7636,0.113265736973896,0.0142123765990073,1.84762546003438e-15,"lmer",7.0671673846315e-14
"128","HILIC_PC.P.38.6.or.PC.O.38.7",7636,0.0123335304348795,0.0128526784073208,0.337286306692251,"lmer",0.385110484506824
"129","HILIC_LPE.22.6",7636,-0.0193879298307654,0.013281411639702,0.144395316433331,"lmer",0.190452443226721
"130","HILIC_PE.P.35.2.or.PE.O.35.3",7635,0.10717996072712,0.0148796458949014,6.47457799443086e-13,"lmer",1.98122086629584e-11
"131","HILIC_PE.P.38.6.or.PE.O.38.7",7636,0.00208025271020143,0.0129571347370834,0.872453344425071,"lmer",0.895874910718362
"132","HILIC_PE.P.38.4.or.PE.O.38.5",7636,0.126117345390982,0.0144674682203158,3.491492129415e-18,"lmer",1.78066098600165e-16
"133","HILIC_PE.P.40.6.or.PE.O.40.7",7636,0.0186276258640658,0.0129708288955981,0.151014609645808,"lmer",0.197480643382979
"134","HILIC_PE.38.6",7636,-0.0140257515997175,0.0128916198826862,0.276647144023025,"lmer",0.328116380120332
"135","HILIC_PE.40.6",7636,-0.00310585027823707,0.0131095489221187,0.812730212214643,"lmer",0.845902873937689
"136","HILIC_QI03113",7624,-0.0205384647740445,0.0138126959787587,0.137081690785831,"lmer",0.182378249480279
"137","HILIC_QI03469",7634,0.0636664581174103,0.0130766683584835,1.14908782980356e-06,"lmer",1.50932197966266e-05
"138","HILIC_QI03413",7636,0.0370020496244396,0.013558504959119,0.00636712352512594,"lmer",0.0137207028076658
"139","HILIC_QI04038",7636,0.0359933873954558,0.0117672485332626,0.00223259616293663,"lmer",0.00577744346633001
"140","HILIC_QI04484",7617,-0.031169434890442,0.0139815747982453,0.0258222558368477,"lmer",0.0448955129890647
"141","HILIC_QI06581",7618,-0.0562615556939874,0.0135607472416241,3.37973653828977e-05,"lmer",0.000235045313799243
"142","HILIC_QI14027",7636,-0.0222542278069922,0.0135595414104913,0.100796291449804,"lmer",0.138935428755136
"143","HILIC_QI14075",7636,0.0143477496432999,0.0145772088315235,0.325021636644389,"lmer",0.373897070726252
"144","HILIC_QI14851",7632,-0.02511567866704,0.0141319995336616,0.0755744960328218,"lmer",0.105117253572925
"145","HILIC_QI14871",7636,-0.0211882540306847,0.0131571765889287,0.107356982345851,"lmer",0.145359453972701
"146","HILIC_QI14939",7636,0.145316220677544,0.0149676098142499,3.75518662589818e-22,"lmer",2.87271776881211e-20
"147","HILIC_QI14950",7636,0.00202816127585343,0.013325517647299,0.879032471355156,"lmer",0.896613120782259
"148","HILIC_QI14962",7636,-0.0028957820599199,0.0146665176512367,0.84348723108492,"lmer",0.871983421324276
"149","HILIC_QI16652",7636,-0.0630994298333545,0.0136909637248708,4.11854290581864e-06,"lmer",4.50097903278751e-05
"150","HILIC_QI18275",7634,-0.0507356672139383,0.0143718104943983,0.000417756790607646,"lmer",0.00152182830864214
"151","HILIC_QI18984",7636,0.0684571442788117,0.0112551289510731,1.25919879345032e-09,"lmer",2.40821769247375e-08
"152","HILIC_QI19128",7634,0.116875129557482,0.0118137635823708,6.62914925755489e-23,"lmer",1.0142598364059e-20
"153","HILIC_QI19305",7636,0.0748251190930578,0.0116882406331869,1.66092279701507e-10,"lmer",3.63030268490437e-09
