"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"184","C8_QI11354",7634,-0.00518569783988253,0.015213972229188,0.733225624635149,"lmer",0.803056636505164
"185","C8_QI11299",7614,-0.00856955980832183,0.0154239829195314,0.578501398804611,"lmer",0.703996411243707
"186","C8_QI11274",7634,-0.0355949977027421,0.0152917176209871,0.0199535376736562,"lmer",0.0527507317809302
"187","C8_QI11207",7633,0.00990116612547531,0.015468409847902,0.522133919800261,"lmer",0.686550528943176
"188","C8_QI11062",7634,-0.00893344339504661,0.0154624945861562,0.563451029015773,"lmer",0.703996411243707
"189","C8_QI1170",7634,-0.00948323644985158,0.0143947580831707,0.510048106445344,"lmer",0.678098638626758
"190","C8_QI1202",7634,-0.00509796607020649,0.0153769487794097,0.740251376276415,"lmer",0.806909083144907
"191","C8_QI1244",7634,-0.0179225353874653,0.0155100026253323,0.247903823039129,"lmer",0.393086809068937
"192","C8_QI10998",7634,-0.0276247224373389,0.0152978725353221,0.0709923165883676,"lmer",0.143230112415128
"193","C8_QI1352",7634,-0.00643299364276188,0.0151441542292033,0.671006841172714,"lmer",0.763703356444571
"194","C8_QI10837",7634,0.00304503038245564,0.0155134405704108,0.844393746289231,"lmer",0.886806217564033
"195","C8_QI1410",7634,-0.00864243056249145,0.0148881582447651,0.561602588330306,"lmer",0.703996411243707
"196","C8_QI1471",7634,-0.00690556591383495,0.0150270017439986,0.645857584095023,"lmer",0.739041016626146
"197","C8_QI10726",7634,-0.0173125717568867,0.0155246333354113,0.264814615788865,"lmer",0.408774239137175
"198","C8_QI1514",7634,-0.00769815004738233,0.014697243336509,0.600446934396348,"lmer",0.717220116092089
"199","C8_QI10722",7634,-0.0159168757478084,0.0147658455800889,0.281091910107615,"lmer",0.419812593017866
"200","C8_QI1560",7634,-0.0243800013217702,0.0145259642773744,0.0933197170683841,"lmer",0.178862791047736
"201","C8_QI10686",7634,0.023372352358405,0.0150402140716097,0.120230357358262,"lmer",0.219468112638098
"202","C8_QI10680",7634,-0.0213160482652448,0.0144135389279036,0.139216072422975,"lmer",0.239532024772386
"203","C8_QI1567",7634,-0.00755531749595684,0.0146875733339674,0.60698735321382,"lmer",0.719624181645251
"204","C8_QI10448",7634,-0.00634586660129547,0.0150872309771999,0.67405122329673,"lmer",0.763703356444571
"205","C8_QI10423",7634,-0.00855453903777277,0.014254147578037,0.548430717420258,"lmer",0.70077258337033
"206","C8_QI1817",7634,-0.00806497189810726,0.0146642241964933,0.582353600935146,"lmer",0.704151215131745
"207","C8_QI10392",7634,-0.00838726831681006,0.0153477634770228,0.58475166126158,"lmer",0.704151215131745
"208","C8_QI1950",7634,-0.0143889105902534,0.015387918667078,0.349778487633351,"lmer",0.496599087380683
"209","C8_QI10256",7634,0.00869042324138322,0.0151991321743033,0.567494891209958,"lmer",0.703996411243707
"210","C8_QI1958",7634,0.00872473267929872,0.0153083217068669,0.568739873562289,"lmer",0.703996411243707
"211","C8_QI1990",7634,0.00303589017006146,0.0153991320407883,0.843718060520649,"lmer",0.886806217564033
"212","C8_QI10254",7634,0.0113350403966293,0.0148694705224439,0.445904492987254,"lmer",0.614119960401608
"213","C8_QI2028",7634,0.00587475900238712,0.0151131079501851,0.697495170805766,"lmer",0.778756744103525
"214","C8_QI2157",7634,0.00271352259573561,0.0149108572009886,0.855601314024815,"lmer",0.890854558991062
"215","C8_QI2158",7634,0.0074554428975964,0.0151060181772229,0.62164525824399,"lmer",0.722813198711277
"216","C8_QI10083",7634,-0.00934275010715175,0.0152221732055138,0.539393752239283,"lmer",0.696969455140647
"217","C8_QI9990",7634,-0.025685059530688,0.0147200903222894,0.081044695451211,"lmer",0.160692068567056
"218","C8_QI9619",7634,0.00358990081189331,0.0157324054983566,0.819508457936364,"lmer",0.872624746876684
"219","C8_QI2685",7631,-0.00728171492009205,0.0144277795767135,0.613785245352298,"lmer",0.720258196076676
"220","C8_QI9453",7634,-0.0189293447893075,0.0151630986366915,0.211931505980748,"lmer",0.343269340673042
"221","C8_QI2905",7634,-0.00932700753134931,0.0145918690065391,0.522719284215422,"lmer",0.686550528943176
"222","C8_QI9336",7634,-0.0104456685174579,0.014613324928038,0.474754086701909,"lmer",0.646115029239284
"223","C8_QI8758",7633,0.0098350374707338,0.0139597035461726,0.481126372473725,"lmer",0.647129038999748
"224","C8_QI3552",7634,-0.0222384930857924,0.0150376358165642,0.13922118272896,"lmer",0.239532024772386
"225","C8_QI8611",7634,-0.0458905347023734,0.0150131205846867,0.00224593835721275,"lmer",0.00846829216653987
"226","C8_QI8521",7634,-0.0263325735645861,0.014419923597353,0.0678729935456763,"lmer",0.138148570933677
"227","C8_QI7126",7633,0.0352288644823405,0.014358052939158,0.0141664880815403,"lmer",0.0389010794171536
"228","C8_QI5232",7633,0.0179605482615024,0.0144985540402622,0.215467029122145,"lmer",0.346555361525128
"229","C8_QI5367",7633,-0.0262491374858076,0.0148183591158049,0.0765366157091552,"lmer",0.15307323141831
"230","HILIC_QI14974",7635,0.0136091033339131,0.0125691357421939,0.278966152464898,"lmer",0.419360882790369
