"Metabolite","Original_Metabolite_Name","Population_Beta","Population_SE","Population_P","Population_P_fdr"
"C18_QI49700",NA,-0.0281092050897291,0.013798496114357,0.0416735261813447,0.0650617296504667
"C18_QI49706",NA,-0.0278861837043096,0.0137919993302493,0.0432216498024489,0.0667970951492391
"C18_QI49710",NA,-0.026468569626234,0.0138763833959004,0.0565004748814474,0.0840080219401268
"C18_QI49714",NA,-0.029270807271112,0.0138372125346835,0.0344319918130064,0.0560435611424467
"C18_QI49716",NA,-0.0277920864962915,0.0138571832287551,0.0449344426718496,0.0687496972879299
"C18_QI49720",NA,-0.0255616214706013,0.0138804869633103,0.0655809478997423,0.0937746264360801
"C18_QI49721",NA,-0.027159140007424,0.0139333290325442,0.0513067983312906,0.077722179650371
"C18_QI49733",NA,-0.0265042758253025,0.013983449058406,0.0580780337133402,0.0846279919822957
"C18_QI10880",NA,-0.0442917224930201,0.0144095088514714,0.00212133658670795,0.00559593961666062
"C18_QI11017",NA,-0.0542924782631736,0.0142131615723876,0.000134640927884527,0.000710346964356298
"C18_QI11070",NA,-0.0552506047524547,0.0142560249035446,0.000107306254506,0.000586352033550642
"C18_QI11584",NA,-0.0501055084634196,0.0143344383525703,0.000476015570856779,0.00169372982188575
"C18_QI11587",NA,-0.0468547660569458,0.0143897763154257,0.00113456619813091,0.00369337507051126
"C18_QI11740",NA,-0.0513259705313546,0.0142842800254643,0.000328845157300851,0.00129008484787257
"C18_QI11743",NA,-0.0520251481684224,0.014221314828812,0.000255760982675204,0.00105760622565692
"C18_QI11750",NA,-0.0536478965381863,0.0142336554371799,0.000165157096011479,0.000815130183540526
"C18_QI11755",NA,-0.053337856705706,0.0142525113573359,0.000183732029199761,0.000826794131398926
"C18_QI12574",NA,-0.0136054981734107,0.0136243233839516,0.318013162744627,0.368606165908545
"C18_QI13002",NA,-0.0145473763834686,0.0128722451533975,0.258458649668069,0.311371444088303
"C18_QI13014",NA,-0.00790815412298275,0.012990954022462,0.542714544828752,0.601705256223182
"C18_QI13135",NA,-0.0728259081362287,0.0140472855182549,2.22977104452079e-07,3.79061077568535e-06
"C18_QI13137",NA,-0.0559778016393204,0.0129900933509245,1.66174372160834e-05,0.000127123394703038
"C18_QI13138",NA,-0.0512725749940173,0.0130136548694607,8.23658905889333e-05,0.000504079250404272
"C18_QI13141",NA,-0.0560705054459267,0.0129007070803064,1.405249765144e-05,0.00011315958635107
"C18_QI13144",NA,-0.0577109667547241,0.0131171411069619,1.10098603468471e-05,9.90887431216237e-05
"C18_QI13468",NA,-0.0460702692522209,0.0125162403689684,0.000234183284793229,0.00100108904041968
"C18_QI13541",NA,-0.0152725329349586,0.0129619453175582,0.238735660248837,0.292212448144577
"C18_QI13534",NA,-0.015636825805187,0.0129515169012604,0.227344546114761,0.282794435411044
"C18_QI13537",NA,-0.0146600451957892,0.0132649555660865,0.269125656836055,0.321689261686847
"C18_QI13538",NA,-0.0151011041150773,0.0129097253442474,0.242143553213682,0.294031457473756
"C18_QI13627",NA,-0.0486177789585114,0.0132132665264381,0.000235550362451689,0.00100108904041968
"C18_QI13636",NA,-0.0471145312223627,0.0132243147586319,0.000369523670101432,0.00137895418354925
"C18_QI13637",NA,-0.0510640353884117,0.0129927953098787,8.57397101564823e-05,0.0005045452174593
"C18_QI13639",NA,-0.0487398715837185,0.0130122873427419,0.000181423368007108,0.000826794131398926
"C18_QI13640",NA,-0.00510572278345675,0.0136388093229548,0.708153811023271,0.752413424212225
"C18_QI13642",NA,-0.040257307429955,0.0133612149366984,0.00259605068323465,0.0064063831376597
"C18_QI14104",NA,-0.0370823018657883,0.0142872491890148,0.00946622981168732,0.0190570152787916
"C18_QI15160",NA,0.058093051226121,0.0119450242461354,1.18378194483346e-06,1.50932197966266e-05
"C18_QI15652",NA,0.0320118516474491,0.0145762183336311,0.0281106170296731,0.0477880489504442
"C18_QI16352",NA,-0.0283487104384361,0.0135633935198858,0.0366449293677956,0.0578007648791002
"C18_QI16867",NA,-0.00789413641801051,0.0141947880041898,0.578140116408454,0.636370056190601
"C18_QI17491",NA,-0.0408631860324502,0.0136227699924161,0.00271210339492214,0.00658653681623947
"C18_QI18689",NA,0.0382791856181673,0.0119683552919512,0.00138961207840994,0.00425221295993441
"C18_QI18681",NA,-0.0339766246440151,0.0140435399451118,0.0155712670587967,0.0291412515405047
"C18_QI18792",NA,-0.0203489469185525,0.0134810202255391,0.131226605239373,0.176119917558106
"C18_QI19318",NA,0.00487713697285193,0.0135327270581938,0.718561501079588,0.756535563322184
"C18_QI19592",NA,0.0315075215995568,0.0106095903547555,0.00299474403854515,0.007159309967147
"C18_QI19734",NA,0.0219622696286484,0.012260379038315,0.073291914669631,0.102877641692234
"C18_QI19857",NA,0.0319474082728944,0.0119573873357033,0.00756527555416357,0.0160762105525976
"C18_QI19930",NA,-0.035499022090369,0.0136047314131688,0.00909119734743836,0.0187966647859199
"C18_QI20106",NA,-0.0201672629084861,0.0141999940050397,0.155582591905524,0.201729970860552
"C18_QI20356",NA,0.0350281441029874,0.0111375016177628,0.00166942449793576,0.00481928204121078
"C18_QI21039",NA,-0.0170848146082585,0.0132023308942489,0.19568154646629,0.247432038093739
"C18_QI21046",NA,-0.0309604025522848,0.012867372991411,0.0161499069593197,0.0296242446794566
"C18_QI21963",NA,-0.00586018365859973,0.0139381100253208,0.674174714462359,0.721319799389797
"HILIC_CAR.13.0","CAR 13:0",-0.0384183687859412,0.0130413476479363,0.00323069880253392,0.0074893472240559
"HILIC_CAR.16.4","CAR 16:4",-0.0445911212992587,0.0136868725404831,0.00112726158483102,0.00369337507051126
"HILIC_PC.P.36.5.or.PC.O.36.6","PC P-36:5 or PC O-36:6",0.0319328047826024,0.0147206168404968,0.0300944831363855,0.050598416701835
"HILIC_PC.P.35.1.or.PC.O.35.2","PC P-35:1 or PC O-35:2",0.113265736973896,0.0142123765990073,1.84762546003438e-15,7.0671673846315e-14
"HILIC_PC.P.38.6.or.PC.O.38.7","PC P-38:6 or PC O-38:7",0.0123335304348795,0.0128526784073208,0.337286306692251,0.385110484506824
"HILIC_LPE.22.6","LPE 22:6",-0.0193879298307654,0.013281411639702,0.144395316433331,0.190452443226721
"HILIC_PE.P.35.2.or.PE.O.35.3","PE P-35:2 or PE O-35:3",0.10717996072712,0.0148796458949014,6.47457799443086e-13,1.98122086629584e-11
"HILIC_PE.P.38.6.or.PE.O.38.7","PE P-38:6 or PE O-38:7",0.00208025271020143,0.0129571347370834,0.872453344425071,0.895874910718362
"HILIC_PE.P.38.4.or.PE.O.38.5","PE P-38:4 or PE O-38:5",0.126117345390982,0.0144674682203158,3.491492129415e-18,1.78066098600165e-16
"HILIC_PE.P.40.6.or.PE.O.40.7","PE P-40:6 or PE O-40:7",0.0186276258640658,0.0129708288955981,0.151014609645808,0.197480643382979
"HILIC_PE.38.6","PE 38:6",-0.0140257515997175,0.0128916198826862,0.276647144023025,0.328116380120332
"HILIC_PE.40.6","PE 40:6",-0.00310585027823707,0.0131095489221187,0.812730212214643,0.845902873937689
"HILIC_QI03113",NA,-0.0205384647740445,0.0138126959787587,0.137081690785831,0.182378249480279
"HILIC_QI03469",NA,0.0636664581174103,0.0130766683584835,1.14908782980356e-06,1.50932197966266e-05
"HILIC_QI03413",NA,0.0370020496244396,0.013558504959119,0.00636712352512594,0.0137207028076658
"HILIC_QI04038",NA,0.0359933873954558,0.0117672485332626,0.00223259616293663,0.00577744346633001
"HILIC_QI04484",NA,-0.031169434890442,0.0139815747982453,0.0258222558368477,0.0448955129890647
"HILIC_QI06581",NA,-0.0562615556939874,0.0135607472416241,3.37973653828977e-05,0.000235045313799243
"HILIC_QI14027",NA,-0.0222542278069922,0.0135595414104913,0.100796291449804,0.138935428755136
"HILIC_QI14075",NA,0.0143477496432999,0.0145772088315235,0.325021636644389,0.373897070726252
"HILIC_QI14851",NA,-0.02511567866704,0.0141319995336616,0.0755744960328218,0.105117253572925
"HILIC_QI14871",NA,-0.0211882540306847,0.0131571765889287,0.107356982345851,0.145359453972701
"HILIC_QI14939",NA,0.145316220677544,0.0149676098142499,3.75518662589818e-22,2.87271776881211e-20
"HILIC_QI14950",NA,0.00202816127585343,0.013325517647299,0.879032471355156,0.896613120782259
"HILIC_QI14962",NA,-0.0028957820599199,0.0146665176512367,0.84348723108492,0.871983421324276
"HILIC_QI16652",NA,-0.0630994298333545,0.0136909637248708,4.11854290581864e-06,4.50097903278751e-05
"HILIC_QI18275",NA,-0.0507356672139383,0.0143718104943983,0.000417756790607646,0.00152182830864214
"HILIC_QI18984",NA,0.0684571442788117,0.0112551289510731,1.25919879345032e-09,2.40821769247375e-08
"HILIC_QI19128",NA,0.116875129557482,0.0118137635823708,6.62914925755489e-23,1.0142598364059e-20
"HILIC_QI19305",NA,0.0748251190930578,0.0116882406331869,1.66092279701507e-10,3.63030268490437e-09
